node_id,predicted_label,confidence,trust_score,wave_version
153_0,malicious,1.0,100.0,wave10
440_1,malicious,1.0,100.0,wave10
441_2,malicious,1.0,100.0,wave10
445_3,malicious,1.0,100.0,wave10
452_4,malicious,1.0,100.0,wave10
453_5,malicious,1.0,100.0,wave10
454_6,malicious,1.0,100.0,wave10
457_7,malicious,1.0,100.0,wave10
458_8,malicious,1.0,100.0,wave10
462_9,malicious,1.0,100.0,wave10
464_10,malicious,1.0,100.0,wave10
469_11,malicious,1.0,100.0,wave10
471_12,malicious,1.0,100.0,wave10
473_13,malicious,1.0,100.0,wave10
478_14,malicious,1.0,100.0,wave10
479_15,malicious,1.0,100.0,wave10
486_16,malicious,1.0,100.0,wave10
487_17,malicious,1.0,100.0,wave10
489_18,malicious,1.0,100.0,wave10
493_19,malicious,1.0,100.0,wave10
496_20,malicious,1.0,100.0,wave10
498_21,malicious,1.0,100.0,wave10
500_22,malicious,1.0,100.0,wave10
501_23,malicious,1.0,100.0,wave10
502_24,malicious,1.0,100.0,wave10
503_25,malicious,1.0,100.0,wave10
504_26,malicious,1.0,100.0,wave10
505_27,malicious,1.0,100.0,wave10
517_28,malicious,1.0,100.0,wave10
520_29,malicious,1.0,100.0,wave10
521_30,malicious,1.0,100.0,wave10
522_31,malicious,1.0,100.0,wave10
523_32,malicious,1.0,100.0,wave10
528_33,malicious,1.0,100.0,wave10
537_34,malicious,1.0,100.0,wave10
538_35,malicious,1.0,100.0,wave10
549_36,malicious,1.0,100.0,wave10
550_37,malicious,1.0,100.0,wave10
553_38,malicious,1.0,100.0,wave10
557_39,malicious,1.0,100.0,wave10
559_40,malicious,1.0,100.0,wave10
560_41,malicious,1.0,100.0,wave10
561_42,malicious,1.0,100.0,wave10
565_43,malicious,1.0,100.0,wave10
566_44,malicious,1.0,100.0,wave10
568_45,malicious,1.0,100.0,wave10
569_46,malicious,1.0,100.0,wave10
572_47,malicious,1.0,100.0,wave10
577_48,malicious,1.0,100.0,wave10
583_49,malicious,1.0,100.0,wave10
586_50,malicious,1.0,100.0,wave10
