timestamp,hostname,endpoint_id,os_type,pid,ppid,process_name,cmd,cpu_percent,memory,risk_score,label
1747122148,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,3204,2345,svchost_461.ps1,C:\Users\Public\svchost_461.ps1,23.81,58724687,,
1747119232,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,4803,924,payload_33.bat,C:\Recycle Bin\payload_33.bat,55.3,294676604,,
1747113005,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,716,1,PlugInLibraryService,/System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService,0.0,2883584,0.0,0.0
1747119595,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,4986,2700,install_329.jar,C:\Users\Public\install_329.jar,41.94,240994400,,
1747120956,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,4365,896,setup_378.js,C:\Recycle Bin\setup_378.js,17.13,421501878,,
1747118964,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,2546,1865,install_429.bat,C:\Temp\install_429.bat,28.36,475527898,,
1747119192,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,3404,2011,setup_116.vbs,C:\AppData\setup_116.vbs,36.39,486840372,,
1747112965,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,536,1,suggestd,/System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd,0.1,176062464,0.0,0.0
1747122025,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,4618,3893,install_495.pif,C:\AppData\install_495.pif,41.37,282957765,,
1747120506,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,4736,836,malware_133.bat,C:\Recycle Bin\malware_133.bat,65.97,397032247,,
1747118834,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,2159,448,driver_130.ps1,C:\Temp\driver_130.ps1,4.02,213586963,,
1747120096,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,windows,3158,429,script_498.exe,C:\Recycle Bin\script_498.exe,7.66,271897397,,
