object,loaded,ringbuf_count,perfbuf_count,other_maps
cred_dump_monitor.bpf.o,0,0,0,0
dll_injection_monitor.bpf.o,0,0,0,0
dns_tunnel_monitor.bpf.o,0,0,0,0
encrypted_payload_monitor.bpf.o,0,0,0,0
entropy_exec_monitor.bpf.o,0,0,0,0
file_access_monitor.bpf.o,1,0,0,1
file_hash_watcher_ebpf.bpf.o,1,0,0,1
file_tamper_monitor.bpf.o,0,0,0,0
ipc_abuse_monitor.bpf.o,0,0,0,0
job_sched_monitor.bpf.o,0,0,0,0
kernel_exploit_fallout.bpf.o,0,0,0,0
logon_tracker.bpf.o,0,0,0,0
mem_scan.bpf.o,0,0,0,0
mfa_bypass_monitor.bpf.o,0,0,0,0
net_flow.bpf.o,1,0,0,2
network_anomaly_monitor.bpf.o,0,0,0,0
process_injection.bpf.o,0,0,0,0
process_injection_monitor.bpf.o,0,0,0,0
proc_hollow_monitor.bpf.o,0,0,0,0
proc_lifecycle.bpf.o,1,0,0,0
raw_syscalls_catcher.bpf.o,1,0,0,8
suspicious_ipc.bpf.o,0,0,0,0
syscall_tracer.bpf.o,1,0,0,1
tcp_state.bpf.o,1,0,0,1
wx_exec.bpf.bpf.o,1,0,0,5
wx_exec.bpf.o,1,0,0,5
