22: type 7  prog 706  
23: type 7  prog 707  
24: type 7  prog 714  
25: type 7  prog 715  
26: type 7  prog 716  
27: type 7  prog 717  
28: type 7  prog 718  
29: type 7  prog 719  
30: type 7  prog 720  
79: type 7  prog 902  
80: type 7  prog 904  
81: type 7  prog 907  
82: type 7  prog 908  
83: type 7  prog 910  
84: type 7  prog 913  
85: type 7  prog 911  
86: type 7  prog 915  
87: type 7  prog 934  
88: type 7  prog 914  
89: type 7  prog 918  
90: type 7  prog 916  
91: type 7  prog 921  
92: type 7  prog 920  
93: type 7  prog 923  
94: type 7  prog 924  
95: type 7  prog 925  
96: type 7  prog 926  
97: type 7  prog 927  
98: type 7  prog 929  
99: type 7  prog 931  
100: type 7  prog 935  
101: type 7  prog 944  
102: type 7  prog 945  
103: type 7  prog 950  
104: type 7  prog 951  
105: type 7  prog 952  
106: type 7  prog 953  
107: type 7  prog 954  
108: type 7  prog 955  
109: type 7  prog 957  
110: type 7  prog 958  
111: type 7  prog 962  
112: type 7  prog 964  
113: type 7  prog 966  
114: type 7  prog 967  
115: type 7  prog 969  
116: type 7  prog 970  
117: type 7  prog 972  
118: type 7  prog 968  
119: type 7  prog 971  
203: type 7  prog 1323  
204: type 7  prog 1329  
205: type 7  prog 1330  
206: type 7  prog 1335  
207: type 7  prog 1340  
208: type 7  prog 1341  
210: type 7  prog 1352  
211: type 7  prog 1361  
212: type 7  prog 1367  
213: type 7  prog 1368  
214: type 7  prog 1373  
215: type 7  prog 1378  
216: type 7  prog 1383  
217: type 7  prog 1388  
218: type 7  prog 1389  
219: type 7  prog 1390  
220: type 7  prog 1396  
221: type 7  prog 1401  
233: type 7  prog 1468  
235: type 7  prog 1464  
236: type 7  prog 1474  
238: type 7  prog 1473  
239: type 7  prog 1475  
240: type 7  prog 1483  
241: type 7  prog 1488  
242: type 7  prog 1493  
243: type 7  prog 1502  
244: type 7  prog 1504  
245: type 7  prog 1501  
246: type 7  prog 1503  
247: type 7  prog 1517  
248: type 7  prog 1516  
249: type 7  prog 1523  
250: type 7  prog 1524  
251: type 7  prog 1529  
252: type 7  prog 1536  
253: type 7  prog 1540  
254: type 7  prog 1541  
255: type 7  prog 1542  
256: type 7  prog 1548  
257: type 7  prog 1552  
263: type 7  prog 2117  
482: type 7  prog 2836  
483: type 7  prog 2837  
487: type 7  prog 2856  
488: type 7  prog 2857  
489: type 7  prog 2858  
497: type 7  prog 2896  
498: type 7  prog 2897  
499: type 7  prog 2903  
500: type 7  prog 2910  
501: type 7  prog 2911  
